OUVRAGEID,SECTEUR,NOM,TYPE,METHODE,MISEAJOUR,LONGITUDE,LATITUDE
28,Repentigny,Surverse Marina,PP,Capteurs �lectroniques,20180724,-73.45179188824181,45.7323974753268
17,Repentigny,Surverse Lareault,TP,Rep�re visuel,20180724,-73.43652022675066,45.76016246878343
4,Repentigny,Surverse Bord de l'eau,TP,Rep�re visuel,20180724,-73.46325687928639,45.7207424833752
9,Repentigny,Surverse Station Saint-Laurent 1,TP,Rep�re visuel,20180724,-73.45511521520457,45.728204143687144
9,Le Gardeur,Surverse Lafortune,PPD,Capteurs �lectroniques,20180724,-73.45357698595603,45.76724630315538
7,Repentigny,Surverse Levesque,TP,Rep�re visuel,20180724,-73.45846521972757,45.724832479761226
12,Repentigny,Surverse Le Francois,TP,Rep�re visuel,20180724,-73.43141022978017,45.753340807257544
1,Repentigny,Surverse L'Assomption,TP,Rep�re visuel,20180724,-73.47998854267881,45.71806914912492
8,Repentigny,Surverse Parc Saint-Laurent,TP,Rep�re visuel,20180724,-73.4565535495983,45.726712477779394
15,Le Gardeur,Surverse Place Aubert,PP,Capteurs �lectroniques,20180724,-73.49018186874083,45.73574081074522
16,Repentigny,Surverse Larose,TP,Rep�re visuel,20180724,-73.43567355879173,45.75983913985298
14,Le Gardeur,Surverse Felix Declos,TP,Rep�re visuel,20180724,-73.4871085434993,45.760619137079374
11,Repentigny,Surverse Rivest,TP,Rep�re visuel,20180724,-73.43387355654718,45.74845747733669
16,Le Gardeur,Surverse Pierre-Le Gardeur,PP,Capteurs �lectroniques,20180724,-73.47942188148288,45.74799414379799
11,Le Gardeur,Surverse Arsenaux,PP,Capteurs �lectroniques,20180724,-73.47600854430162,45.74671580802411
3,Repentigny,Surverse Yvon 1,TP,Rep�re visuel,20180724,-73.46482854451227,45.719510815084625
8,Le Gardeur,Surverse De la Seigneurie,PP,Capteurs �lectroniques,20180724,-73.45915688361828,45.76827413894717
5,Repentigny,Surverse Bonaventure,TP,Rep�re visuel,20180724,-73.46133521896884,45.722427481092616
10,Le Gardeur,Surverse J.A.Pare,PPD,Capteurs �lectroniques,20180724,-73.46312757929327,45.75608532432508
14,Repentigny,Surverse Valmont,TP,Rep�re visuel,20180724,-73.42383022767295,45.76170413984731
12,Le Gardeur,Surverse Bellerive,PP,Capteurs �lectroniques,20180724,-73.48349520957449,45.73326414396296
13,Le Gardeur,Surverse Bourg-Neuf,PP,Capteurs �lectroniques,20180724,-73.45827688009027,45.7733324742684
18,Le Gardeur,Surverse Notre-Dame,PP,Capteurs �lectroniques,20180724,-73.48290187714935,45.73878914461894
10,Repentigny,Surverse Thouin,TP,Rep�re visuel,20180724,-73.44967689031164,45.7340308083307
6,Repentigny,Surverse Jean-Talon,TP,Rep�re visuel,20180724,-73.4595685500335,45.723817479969625
13,Repentigny,Surverse J-B Meilleur,TP,Rep�re visuel,20180724,-73.43362855532801,45.760920805839596
,Repentigny,Surverse Pascale,TP,Rep�re visuel,20180724,-73.45922188464976,45.7511358080078
29,Repentigny,Surverse Providence,TP,Rep�re visuel,20180724,-73.45641355221719,45.75054580550028
30,Repentigny,Surverse Lamontagne,TP,Rep�re visuel,20180724,-73.44951688775761,45.74480580678682
24,Repentigny,Surverse F�lix,PPSP,Capteurs �lectroniques,20180724,-73.41054510331593,45.77469831323901
23,Repentigny,Surverse Beauchesne,PPSP,Capteurs �lectroniques,20180724,-73.41750724615153,45.768457591213064
22,Repentigny,Surverse George,PPSP,Capteurs �lectroniques,20180724,-73.4208488761099,45.76418721699045
21,Repentigny,Surverse Prud'homme,PPSP,Capteurs �lectroniques,20180724,-73.4276815362741,45.756975444902906
20,Repentigny,Surverse Ritchot,PPSP,Capteurs �lectroniques,20180724,-73.43706674365541,45.74645668968787
19,Repentigny,Surverse Jolasmont,PPSP,Capteurs �lectroniques,20180724,-73.4437955193436,45.749804193508005
15,Repentigny,Surverse Basile-Routhier,PPSP,Capteurs �lectroniques,20180724,-73.4538124885392,45.759691634516514
2,Repentigny,Surverse Archambault,PPSP,Capteurs �lectroniques,20180724,-73.47802155318371,45.713081879294165
18,Repentigny,Surverse Yvon 2,PPSP,Capteurs �lectroniques,20180724,-73.4644854104506,45.71928397781668
25,Repentigny,Surverse Station Saint-Laurent 2,PPSP,Capteurs �lectroniques,20180724,-73.45505358492325,45.72801233810341
