ï»¿ID,MUNICIPALITE,MODELE,COULEUR,MISEAJOUR,LONGITUDE,LATITUDE,DATEENTRETIEN,PRESSIONDYNAMIQUE
,60013,Concord D67M,Rouge,2018-04-13,-73.47999832791955,45.71739006583907,2023-10-17,52
,60013,McAvity M67,Rouge,2019-09-23,-73.4776471511389,45.71333295143977,2023-10-17,37
,60013,McAvity M67,Rouge,2018-04-13,-73.47771759929812,45.71416807430185,2023-10-17,44
,60013,McAvity M67 Brigadier,Rouge,2019-09-23,-73.47825677145107,45.71364412678413,2023-10-17,48
,60013,McAvity M67,Rouge,2018-04-13,-73.47936002083543,45.71475684028478,2023-10-17,46
,60013,McAvity M59M,Rouge,2018-04-13,-73.47849986336455,45.71551029008632,2023-10-17,22
,60013,Concord D67M,Rouge,2018-04-13,-73.47850835958293,45.716299631441764,2023-10-17,48
,60013,McAvity M67,Rouge,2018-04-13,-73.47822541015104,45.71698563741722,2023-10-17,52
,60013,McAvity M67,Rouge,2018-04-13,-73.47563305479039,45.71576138232743,2023-10-17,34
,60013,McAvity M59M,Rouge,2018-04-13,-73.4767774998687,45.717490982044616,2023-10-17,15
,60013,McAvity M59M,Rouge,2019-09-25,-73.47280149492988,45.7170698135387,2023-10-17,50
,60013,McAvity M59M,Rouge,2018-04-13,-73.47562836818813,45.7137477965522,2023-10-17,40
,60013,McAvity M59M,Rouge,2018-04-13,-73.47643912046189,45.71318821298035,2023-10-17,40
,60013,McAvity M59M,Rouge,2018-04-13,-73.47490849774287,45.71288077299905,2023-10-17,40
,60013,McAvity M67,Rouge,2018-04-13,-73.47355696518864,45.71333945216446,2023-10-17,40
,60013,AVK Model 27-80,Rouge,2018-04-13,-73.47338371536459,45.71421315413699,2023-10-17,44
,60013,Daigle D67,Rouge,2019-01-23,-73.47177286293518,45.71508731041264,2023-10-17,44
,60013,Daigle D67,Rouge,2018-04-13,-73.4696369904412,45.716231536258185,2023-10-17,40
,60013,Concord D67M,Rouge,2019-03-06,-73.47084035497107,45.71610519728622,2023-10-17,40
,60013,McAvity M67,Rouge,2018-04-13,-73.46899156373519,45.71576295816094,2023-10-17,38
,60013,McAvity M67,Rouge,2018-04-13,-73.47099760548758,45.714601866968884,2023-10-17,38
,60013,AVK Model 27-80,Rouge,2018-09-18,-73.47184902877217,45.716326168767644,2023-10-17,40
,60013,Concord D67M,Rouge,2019-09-03,-73.4707706367778,45.71706390710058,2023-10-17,44
,60013,McAvity M59M,Rouge,2018-04-13,-73.47441125598203,45.71722503289573,2023-10-17,16
,60013,McAvity M67,Rouge,2019-09-25,-73.47444696022819,45.717644357330656,2023-10-17,54
,60013,McAvity M67,Rouge,2019-09-25,-73.4753964645644,45.71812519447001,2023-10-17,60
,60013,McAvity M67,Rouge,2019-09-25,-73.47669452830574,45.71857515312987,2023-10-17,60
,60013,McAvity M67,Rouge,2019-09-25,-73.4786088117681,45.71924706618485,2023-10-17,55
,60013,McAvity M67,Rouge,2018-04-13,-73.48000669394243,45.71907263811634,2023-10-17,55
,60013,McAvity M67,Rouge,2018-04-13,-73.47990156755642,45.720245412409184,2023-10-17,55
,60013,McAvity M67,Rouge,2018-04-13,-73.47881270101921,45.720068331285354,2023-10-17,45
,60013,McAvity M59M,Rouge,2018-04-13,-73.47710416215821,45.719520675014444,2023-10-17,31
,60013,McAvity M59M,Rouge,2019-10-30,-73.47582719102635,45.71959210311629,2023-10-17,35
,60013,AVK Model 27-80,Rouge,2019-10-10,-73.47401748254434,45.71898667849799,2023-10-17,55
,60013,McAvity M59M,Rouge,2019-09-25,-73.4728279889462,45.71861710560728,2023-10-17,50
,60013,AVK Model 27-80,Rouge,2019-10-11,-73.47207596181474,45.71989452886012,2023-10-17,55
,60013,Concord D67M,Rouge,2019-10-11,-73.47258403945841,45.72115030604523,2023-10-17,50
,60013,McAvity M59M,Rouge,2019-10-30,-73.474013851158,45.72122689559257,2023-10-17,32
,60013,McAvity M67,Rouge,2018-04-13,-73.47982096135765,45.72141545527913,2023-10-17,56
,60013,McAvity M59M,Rouge,2019-10-30,-73.47825618072837,45.7213332775251,2023-10-17,36
,60013,McAvity M59M,Rouge,2018-04-13,-73.47664866147815,45.72109026303192,2023-10-17,32
,60013,McAvity M59M,Rouge,2019-10-30,-73.47591695869247,45.721722732291234,2023-10-17,18
,60013,McAvity M59M,Rouge,2018-04-13,-73.47725756718677,45.721294930331204,2023-10-17,45
