OBJECTID,MUNICIPALITE,SECTEUR,JOUR,FREQUENCE,TYPE_DECHET,REMARQUES,GEOM
1,Rimouski,B-2,,Aux 2 semaines,, ,Polygone
2,Rimouski,B-1,,Aux 2 semaines,, ,Polygone
3,Rimouski,B-2,,Aux 2 semaines,, ,Polygone
4,Rimouski,B-1,,Aux 2 semaines,, ,Polygone
5,Rimouski,A-1,,Aux 2 semaines,, ,Polygone
6,Rimouski,A-1,,Aux 2 semaines,, ,Polygone
7,Rimouski,A-1,,Aux 2 semaines,, ,Polygone
8,Rimouski,A-2,,Aux 2 semaines,, ,Polygone
9,Rimouski,A-2,,Aux 2 semaines,, ,Polygone
10,Rimouski,B-1,,Aux 2 semaines,, ,Polygone
11,Rimouski,A-1,,Aux 2 semaines,, ,Polygone
12,Rimouski,A-2,,Aux 2 semaines,, ,Polygone
13,Rimouski,B-1,,Aux 2 semaines,, ,Polygone
14,Rimouski,B-2,,Aux 2 semaines,, ,Polygone
15,Rimouski,B-1,,Aux 2 semaines,, ,Polygone
16,Rimouski,B-2,,Aux 2 semaines,, ,Polygone
17,Rimouski,B-2,,Aux 2 semaines,, ,Polygone
18,Rimouski,A-1,,Aux 2 semaines,, ,Polygone
19,Rimouski,A-2,,Aux 2 semaines,, ,Polygone
20,Rimouski,B-2,,Aux 2 semaines,, ,Polygone
1,Rimouski,B-2,,Annuel,Arbre de Noël, ,Polygone
2,Rimouski,B-1,,Annuel,Arbre de Noël, ,Polygone
3,Rimouski,B-2,,Annuel,Arbre de Noël, ,Polygone
4,Rimouski,B-1,,Annuel,Arbre de Noël, ,Polygone
5,Rimouski,A-1,,Annuel,Arbre de Noël, ,Polygone
6,Rimouski,A-1,,Annuel,Arbre de Noël, ,Polygone
7,Rimouski,A-1,,Annuel,Arbre de Noël, ,Polygone
8,Rimouski,A-2,,Annuel,Arbre de Noël, ,Polygone
9,Rimouski,A-2,,Annuel,Arbre de Noël, ,Polygone
10,Rimouski,B-1,,Annuel,Arbre de Noël, ,Polygone
11,Rimouski,A-1,,Annuel,Arbre de Noël, ,Polygone
12,Rimouski,A-2,,Annuel,Arbre de Noël, ,Polygone
13,Rimouski,B-1,,Annuel,Arbre de Noël, ,Polygone
14,Rimouski,B-2,,Annuel,Arbre de Noël, ,Polygone
15,Rimouski,B-1,,Annuel,Arbre de Noël, ,Polygone
16,Rimouski,B-2,,Annuel,Arbre de Noël, ,Polygone
17,Rimouski,B-2,,Annuel,Arbre de Noël, ,Polygone
18,Rimouski,A-1,,Annuel,Arbre de Noël, ,Polygone
19,Rimouski,A-2,,Annuel,Arbre de Noël, ,Polygone
20,Rimouski,B-2,,Annuel,Arbre de Noël, ,Polygone
21,Rimouski,B-2,,Saisonnier,Gros rebuts, ,Polygone
22,Rimouski,B-1,,Saisonnier,Gros rebuts, ,Polygone
23,Rimouski,B-2,,Saisonnier,Gros rebuts, ,Polygone
24,Rimouski,B-1,,Saisonnier,Gros rebuts, ,Polygone
25,Rimouski,A-1,,Saisonnier,Gros rebuts, ,Polygone
26,Rimouski,A-1,,Saisonnier,Gros rebuts, ,Polygone
27,Rimouski,A-1,,Saisonnier,Gros rebuts, ,Polygone
28,Rimouski,A-2,,Saisonnier,Gros rebuts, ,Polygone
29,Rimouski,A-2,,Saisonnier,Gros rebuts, ,Polygone
30,Rimouski,B-1,,Saisonnier,Gros rebuts, ,Polygone
31,Rimouski,A-1,,Saisonnier,Gros rebuts, ,Polygone
32,Rimouski,A-2,,Saisonnier,Gros rebuts, ,Polygone
33,Rimouski,B-1,,Saisonnier,Gros rebuts, ,Polygone
34,Rimouski,B-2,,Saisonnier,Gros rebuts, ,Polygone
35,Rimouski,B-1,,Saisonnier,Gros rebuts, ,Polygone
36,Rimouski,B-2,,Saisonnier,Gros rebuts, ,Polygone
37,Rimouski,B-2,,Saisonnier,Gros rebuts, ,Polygone
38,Rimouski,A-1,,Saisonnier,Gros rebuts, ,Polygone
39,Rimouski,A-2,,Saisonnier,Gros rebuts, ,Polygone
40,Rimouski,B-2,,Saisonnier,Gros rebuts, ,Polygone
41,Rimouski,B-2,,Saisonnier,Résidus verts (incluant feuilles mortes), ,Polygone
42,Rimouski,B-1,,Saisonnier,Résidus verts (incluant feuilles mortes), ,Polygone
43,Rimouski,B-2,,Saisonnier,Résidus verts (incluant feuilles mortes), ,Polygone
44,Rimouski,B-1,,Saisonnier,Résidus verts (incluant feuilles mortes), ,Polygone
45,Rimouski,A-1,,Saisonnier,Résidus verts (incluant feuilles mortes), ,Polygone
46,Rimouski,A-1,,Saisonnier,Résidus verts (incluant feuilles mortes), ,Polygone
47,Rimouski,A-1,,Saisonnier,Résidus verts (incluant feuilles mortes), ,Polygone
48,Rimouski,A-2,,Saisonnier,Résidus verts (incluant feuilles mortes), ,Polygone
49,Rimouski,A-2,,Saisonnier,Résidus verts (incluant feuilles mortes), ,Polygone
50,Rimouski,B-1,,Saisonnier,Résidus verts (incluant feuilles mortes), ,Polygone
51,Rimouski,A-1,,Saisonnier,Résidus verts (incluant feuilles mortes), ,Polygone
