OBJECTID,MUNICIPALITE,USAGE,ADRESSE,DATE_CREATION,HAUTEUR,ALTITUDE_TOIT,TYPE,SUPERFICIE,GEOM,Suivit_JP
238410,10043,Résidentielle,"1232, Saint-Germain (Boulevard le)",20061010,-1.09521787,67.4740448,4,23.08965,Polygone,
238411,10043,Résidentielle,"1180, Saint-Germain (Boulevard le)",20061010,0.25898167,80.20813751,4,45.88745,Polygone,
238412,10043,Résidentielle,"1230, Plage (Rue de la)",20061010,-0.21745267,7.35362196,4,56.2332,Polygone,
238413,10043,Résidentielle,"247, Saules (Montée des)",20061010,1.03252735,69.1856308,4,45.016661605,Polygone,
238414,10043,Résidentielle,"869, Cormiers (Rue des)",20061010,0.99697905,64.86888123,4,46.38306065,Polygone,
238415,10043,Résidentielle,"332, Panorama (Chemin du)",20160501,130.83601379,130.83601379,4,42.592145,Polygone,
238416,10043,Résidentielle,"261, Prés Est (Chemin des)",20061010,-666,-666,4,36.6456,Polygone,
238417,10043,Résidentielle,"593, Thomas-Taschereau (Rue)",20061010,1.46920309,29.278965,4,41.197037065,Polygone,
238418,10043,Résidentielle,"837, Épinettes (Rue des)",20061010,0.7929622,56.65945435,4,38.370364315,Polygone,
238419,10043,Résidentielle,"189, Bellevue (Rue)",20061010,0.39303832,47.77853012,4,33.43115,Polygone,
238420,10043,Services,"411, Curé-Destroismaisons (Rue du)",20061010,0.74132591,63.39603424,4,32.371056445,Polygone,
238421,10043,Résidentielle,"424, Curé-Destroismaisons (Rue du)",20061010,0.8156862,64.02001953,4,32.133470165,Polygone,
238422,10043,Résidentielle,"599, Rapides (Rue des)",20061010,0.38506435,20.02669525,4,33.37655192,Polygone,
238423,10043,Résidentielle,"597, Rapides (Rue des)",20061010,1.55421937,19.83544159,4,24.99441908,Polygone,
238424,10043,Résidentielle,"318, Gagné Sud (Rue)",20061010,0.64912587,27.7521534,4,23.63723363,Polygone,
238425,10043,Résidentielle,"383, Normandie (Rue de la)",20061010,0.88525602,63.52501678,4,23.328558015,Polygone,
238426,10043,Résidentielle,"460, Sarcelles (Rue des)",20160501,0.9450056,63.26417541,4,42.3957104,Polygone,
238427,10043,Résidentielle,"326, Saint-Urbain (Rue)",20061010,0.68973559,26.7579174,4,31.18245082,Polygone,
238428,10043,Résidentielle,"506, Chanoine-Page (Rue du)",20061010,0.51896656,63.47914124,4,35.190122215,Polygone,
238429,10043,Résidentielle,"478, Sarcelles (Rue des)",20160501,0.52814908,61.02570343,4,42.74776345,Polygone,
238430,10043,Résidentielle,"482, Sarcelles (Rue des)",20160501,0.62372882,61.11886215,4,21.25613669,Polygone,
238431,10043,Résidentielle,"436, Sarcelles (Rue des)",20061010,0.83346584,61.71986771,4,32.131611385,Polygone,
238432,10043,Résidentielle,"424, Mésanges (Rue des)",20160501,0.84406884,61.61388016,4,32.504662625,Polygone,
238433,10043,Résidentielle,"540, Thomas-Taschereau (Rue)",20061010,1.20563296,26.7920208,4,37.1718,Polygone,
238434,10043,Résidentielle,"455, Monseigneur-Desbiens (Rue)",20061010,0.75959281,60.68992615,4,43.2366575,Polygone,
238435,10043,Résidentielle,"460, Monseigneur-Desbiens (Rue)",20061010,0.86792879,60.95333862,4,23.45946408,Polygone,
238436,10043,Résidentielle,"428, Sarcelles (Rue des)",20160501,1.24146263,61.36367416,4,41.55403788,Polygone,
238437,10043,Résidentielle,"555, Savane (Rue de la)",20061010,0.9210365,24.3787365,4,33.059012975,Polygone,
