NoBI,XNAD83MTM6,YNAD83MTM6,DESIGNA,CODELIEN,VOIE,MARQUEB,NBSORTIE1,NBSORTIE2,NBFILETPC,DIAMCOND,DEBITAQ,CLASSENFBA,MUNICIPALITE,GEOM
0477,223323.87789999973,5365542.511425,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,0,0,0,0,0,Classe AA,10043,Point
0476,223470.0181499999,5365618.628825,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,0,0,0,0,0,Classe AA,10043,Point
0474,223599.54302500002,5365699.946374999,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,0,0,0,0,0,,10043,Point
0478,223166.5201249998,5365484.216050001,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,0,0,0,0,0,Classe AA,10043,Point
0480,223024.74120000005,5365411.763250001,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,0,0,0,0,0,Classe AA,10043,Point
0481,222899.34295000043,5365327.237725001,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,0,0,0,0,0,Classe AA,10043,Point
0482,222776.74935000017,5365233.851825001,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,0,0,0,0,0,Classe A,10043,Point
0661,222680.31520000007,5365147.083000001,BOULEVARD,,SAINT-GERMAIN,Daigle D67-M (Concorde),2,0,7,6,0,Classe B,10043,Point
0662,222575.55337500013,5365039.719525,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,2,0,7,6,0,Classe B,10043,Point
0663,222454.37629999965,5364912.595349999,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,2,0,7,6,0,Classe B,10043,Point
1175,223746.5887000002,5365787.565025,Boulevard,,Saint-Germain,Daigle Concord Premier,2,0,0,0,0,Classe AA,10043,Point
0472,223830.72699999996,5365839.0477249995,Boulevard,,Saint-Germain,Daigle Concord Premier,0,0,0,300,0,Classe AA,10043,Point
0974,223360.53500000015,5365622.998,RUE,DES,PEUPLIERS,Canada valve Century,2,0,7,6,0,Classe A,10043,Point
0822,223411.89599999972,5365672.895,RUE,DES,PEUPLIERS,Canada valve Century,2,0,7,6,0,Classe A,10043,Point
0483,223692.1900000004,5365680.407,RUE,DES,FRENES,Darling,2,0,7,6,0,Classe AA,10043,Point
0499,224077.06799999997,5365677.512,RUE,DES,SAPINS,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0563,224223.3289999999,5365687.846999999,RUE,DES,CEDRES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0564,224225.85699999984,5365620.116,RUE,DES,CEDRES,Canada valve Century,2,0,7,6,0,Classe C,10043,Point
0586,224259.73000000045,5365504.028000001,RUE,DES,CORMIERS,Canada valve Century,0,0,0,0,0,Classe AA,10043,Point
0565,224294.58800000045,5365621.795,RUE,DES,CEDRES,Canada valve Century,2,0,7,6,0,,10043,Point
0848,224650.40000000037,5365705.384,RUE,DES,SORBIERS,Mueller,2,0,7,6,0,,10043,Point
0950,224381.37700000033,5365660.252,MONTEE,DES,SAULES,Canada valve,2,0,7,6,0,,10043,Point
0922,224475.82747500017,5365573.506275,MONTEE,DES,SAULES,Canada valve,2,0,7,6,0,,10043,Point
0737,224530.0719999997,5365619.1,RUE,DES,ÉPINETTES,Canron CT,2,0,7,6,0,,10043,Point
0585,224370.51800000016,5365583.305,RUE,DES,CORMIERS,Canada valve Century,0,0,0,0,0,,10043,Point
0923,224581.15000000037,5365471.5940000005,MONTEE,DES,SAULES,Canada valve,2,0,7,6,0,Classe C,10043,Point
0541,223880.88200000022,5366350.716,RUE,DES,SABLES,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0540,223816.70500000007,5366250.566,RUE,DE LA,PLAGE,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0539,223721.7960000001,5366131.103,RUE,DE LA,PLAGE,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0538,223622.78699999955,5366009.832,RUE,DE LA,PLAGE,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0933,223482.96499999985,5365921.453,RUE,DE LA,PLAGE,Daigle D-67M (Concorde),2,0,7,6,0,Classe A,10043,Point
0576,223931.63767500035,5366349.286175,RUE,DES,SABLES,Daigle D-67M (Concorde),2,0,7,6,0,Classe B,10043,Point
0537,223885.40000000037,5366202.107000001,RUE,DU,ROCHER-BLANC,Daigle D-67,2,0,7,6,0,Classe C,10043,Point
0932,223797.46100000013,5366161.457,RUE,DE LA,PLAGE,Daigle D-67M (Concorde),2,0,7,6,0,Classe B,10043,Point
0873,223715.1900000004,5365895.331,RUE,DES,PEUPLIERS,Canada valve,2,0,7,6,0,Classe B,10043,Point
0872,223618.14599999972,5365818.992000001,RUE,DES,PEUPLIERS,Canada valve,2,0,7,6,0,Classe A,10043,Point
