ï»¿OBJECTID,MUNICIPALITE,LONGUEUR,TopResCyc,TypeRevtCyc,TypeVoieCyc,LargCyc,GEOM
2784,10043,169.569709628706,,,3,1,Ligne
2785,10043,169.03044041048122,,,3,1,Ligne
2786,10043,203.09408017654107,,,3,1,Ligne
2787,10043,501.44722744222975,,,3,1,Ligne
2788,10043,464.74602621741036,,,3,1,Ligne
2789,10043,369.86796014795317,,,3,1,Ligne
2790,10043,25.74388289069852,,,3,1,Ligne
2791,10043,277.40613637529617,,,3,1,Ligne
2792,10043,292.7237198372242,,,3,1,Ligne
2793,10043,146.0756286752417,,,3,1,Ligne
2794,10043,145.6182436591303,,,3,1,Ligne
2795,10043,12.331361855853554,,,3,1,Ligne
2796,10043,12.399861760519752,,,3,1,Ligne
2797,10043,1429.4226079256127,,,3,2,Ligne
2798,10043,16.825783103320926,,,3,2,Ligne
2799,10043,185.64061642235484,,,3,3,Ligne
2800,10043,12.045660388626478,,,3,3,Ligne
2801,10043,11.97891225688397,,,3,3,Ligne
2802,10043,29.003504667489015,,,3,3,Ligne
2803,10043,16.912385535163274,,,3,2,Ligne
2804,10043,13.371539996247629,,,3,2,Ligne
2805,10043,1428.4168680102396,,,3,2,Ligne
2806,10043,256.37859130392343,,,3,1,Ligne
2807,10043,220.7527456962733,,,3,1,Ligne
2808,10043,217.61947956336257,,,3,1,Ligne
2809,10043,129.92963963388013,,,3,1,Ligne
2810,10043,118.40008995016628,Parc BeausÃ©jour,,3,1,Ligne
2811,10043,222.5481136839855,,,3,1,Ligne
2812,10043,247.56812504519456,,,3,1,Ligne
2813,10043,58.21752294061681,,,3,1,Ligne
2814,10043,223.67060183141734,,,3,1,Ligne
2815,10043,244.76826995917014,,,3,1,Ligne
2816,10043,10.947980822507866,,,3,1,Ligne
2817,10043,129.82895120118872,Parc BeausÃ©jour,,3,1,Ligne
2818,10043,142.66260580472377,,,4,2,Ligne
2819,10043,176.56554987209955,,,4,2,Ligne
2820,10043,21.684111909673636,,,4,2,Ligne
2821,10043,193.8797270224327,,,4,2,Ligne
2822,10043,89.48661327495844,,,4,2,Ligne
2823,10043,92.7123293819608,,,4,2,Ligne
2824,10043,75.61744826275216,,,4,3,Ligne
2825,10043,71.66140327472749,,,4,3,Ligne
2826,10043,604.9930708181694,,,5,3,Ligne
2827,10043,26.97982397498638,,,4,3,Ligne
2828,10043,18.655574670607844,,,4,3,Ligne
2829,10043,25.933718705962708,,,4,3,Ligne
2830,10043,12.546067214121324,,,4,3,Ligne
2831,10043,12.993890268627213,,,4,3,Ligne
2832,10043,19.38032507493102,,,4,3,Ligne
2833,10043,13.828337874677853,,,4,3,Ligne
2834,10043,18.56106361678258,,,4,3,Ligne
2835,10043,59.786400403388825,,,4,3,Ligne
2836,10043,625.7326416361589,,,5,3,Ligne
2837,10043,220.78861885216477,,,4,2,Ligne
2838,10043,72.9501855207189,,,4,2,Ligne
2839,10043,73.92663235420879,,,4,2,Ligne
2840,10043,55.9355004655362,,,4,2,Ligne
2841,10043,71.16002592396255,,,4,2,Ligne
2842,10043,10.942174170154669,,,4,2,Ligne
2843,10043,136.0840975029496,,,5,2,Ligne
2844,10043,1002.6972941846373,Piste cyclable Charles-Albert,,5,2,Ligne
2845,10043,387.795650175069,,,5,2,Ligne
2846,10043,290.6468323144689,,,6,2,Ligne
2847,10043,69.51080056864676,Parc BeausÃ©jour,,5,2,Ligne
2848,10043,331.08388685399603,,,6,2,Ligne
2849,10043,277.8417974660883,,,6,2,Ligne
2850,10043,89.82213164581198,,,6,2,Ligne
2851,10043,232.95451982770032,,,6,2,Ligne
2852,10043,281.22453722997477,Piste cyclable Charles-Albert,,5,2,Ligne
2853,10043,219.28976018314626,,,6,3,Ligne
2854,10043,99.91601583033483,,,6,3,Ligne
2855,10043,35.405763268056525,,,6,3,Ligne
2856,10043,34.35812598701812,,,6,3,Ligne
2857,10043,403.4038982907132,Piste cyclable Charles-Albert,,5,3,Ligne
2858,10043,254.31563488902316,Parc BeausÃ©jour,,6,2,Ligne
2859,10043,79.09325726378658,,,7,1,Ligne
2860,10043,896.9493109929472,L'Ãboulis Est,,7,,Ligne
2861,10043,233.53663658409226,L'Ãboulis Est,,7,1,Ligne
2862,10043,106.17778282154212,L'Ãboulis Ouest,,7,1,Ligne
2863,10043,108.15536767433697,Parc BeausÃ©jour,,7,1,Ligne
2864,10043,10.912050563711661,L'Ãboulis Est,,7,1,Ligne
2865,10043,115.96865231449975,,,7,1,Ligne
2866,10043,142.190132020666,,,7,1,Ligne
2867,10043,57.94099508440951,,,7,1,Ligne
2868,10043,23.3723285307654,,,7,1,Ligne
2869,10043,42.11440199800018,,,7,1,Ligne
2870,10043,85.6044858696085,,,7,1,Ligne
2871,10043,114.57767627379215,,,7,1,Ligne
2872,10043,39.617174614069455,,,7,1,Ligne
2873,10043,24.96557089165497,,,7,1,Ligne
2874,10043,87.89295784982693,,,7,1,Ligne
2875,10043,4.969513771990173,,,7,1,Ligne
2876,10043,8.31453832467564,,,7,1,Ligne
2877,10043,17.728680719388006,,,7,1,Ligne
2878,10043,48.413364649460945,,,7,1,Ligne
2879,10043,128.49698936140825,Le Draveur,,7,,Ligne
2880,10043,30.739618592380094,Le Draveur,,7,1,Ligne
2881,10043,187.3162859994937,L'Ãboulis Est,,7,1,Ligne
2882,10043,52.42561625072958,Le Draveur,,7,1,Ligne
2883,10043,46.13546509455199,,,7,3,Ligne
2884,10043,737.3498709874401,Le Draveur,,7,,Ligne
2885,10043,145.63487450186673,,,7,3,Ligne
2886,10043,29.802504415396896,,,7,3,Ligne
2887,10043,37.154880132510854,,,7,3,Ligne
2888,10043,22.42628938326353,,,7,3,Ligne
2889,10043,17.795642297554195,,,7,3,Ligne
2890,10043,48.79281469733566,,,7,3,Ligne
2891,10043,15.979356307436168,,,7,3,Ligne
2892,10043,31.746228852780686,,,7,3,Ligne
2893,10043,32.20109242627247,,,7,3,Ligne
2894,10043,20.455792755354167,,,7,3,Ligne
2895,10043,31.10460983296394,,,7,3,Ligne
2896,10043,8.889810762890287,,,7,3,Ligne
2897,10043,7.03653511964518,,,7,3,Ligne
2898,10043,11.09616129853586,,,7,3,Ligne
2899,10043,92.87783286424714,,,7,3,Ligne
2900,10043,4.752204328059891,,,7,3,Ligne
2901,10043,46.18824441125741,,,7,3,Ligne
2902,10043,20.961449394140782,,,7,3,Ligne
2903,10043,42.935811151961175,,,7,3,Ligne
2904,10043,21.275755636169894,,,7,3,Ligne
2905,10043,180.3792887027908,Parc BeausÃ©jour,,7,,Ligne
2906,10043,392.74425399402963,Le Draveur,,7,,Ligne
2907,10043,61.348026794513736,Le Draveur,,7,,Ligne
2908,10043,9.170872984618203,,,7,,Ligne
2909,10043,9.880067674363369,,,7,,Ligne
2910,10043,34.199580531094895,,,7,,Ligne
2911,10043,39.35007228335562,,,7,,Ligne
2912,10043,113.1925713666959,L'Ãboulis Nord,,7,,Ligne
2913,10043,61.33228446860581,Le Draveur,,7,,Ligne
2914,10043,510.61596282106564,Piste cyclable Raymond-Sirois,,7,,Ligne
2915,10043,67.24267297009446,,,7,2,Ligne
2916,10043,180.83395632621693,,,7,2,Ligne
2917,10043,217.20374667083883,,,7,2,Ligne
2918,10043,40.24365714827271,,,7,2,Ligne
2919,10043,22.15339384334612,,,7,2,Ligne
2920,10043,42.66984810155762,,,7,2,Ligne
2921,10043,38.169967454007605,,,7,2,Ligne
2922,10043,105.32634740450447,Parc BeausÃ©jour,,5,2,Ligne
2923,10043,106.55215398624217,,,7,2,Ligne
2924,10043,24.15008852923732,,,7,2,Ligne
2925,10043,17.08618182421105,,,7,2,Ligne
2926,10043,39.086605080449445,,,7,2,Ligne
2927,10043,26.848352115054546,,,7,2,Ligne
2928,10043,104.3826592437532,,,7,2,Ligne
2929,10043,106.29029598458675,,,7,2,Ligne
2930,10043,55.36573706855102,L'Ãboulis Nord,,7,,Ligne
2931,10043,49.80461864697467,Le Draveur,,7,,Ligne
2932,10043,40.91096796301144,Le Draveur,,7,2,Ligne
2933,10043,225.90598612843846,Le Draveur,,7,2,Ligne
2934,10043,284.3925660501006,L'Ãboulis Nord,,7,2,Ligne
2935,10043,574.6975877521623,L'Ãboulis Nord,,7,2,Ligne
2936,10043,269.2506877837083,L'Ãboulis Ouest,,7,2,Ligne
2937,10043,121.6889851399803,Le Draveur,,7,2,Ligne
2938,10043,275.9898991213852,Le Draveur,,7,2,Ligne
2939,10043,242.15090240307762,Le Draveur,,7,2,Ligne
2940,10043,63.98478377860001,,,7,2,Ligne
2941,10043,33.66630649783142,,,7,2,Ligne
2942,10043,99.55958922531785,,,7,2,Ligne
2943,10043,55.058266037314034,,,7,2,Ligne
2944,10043,10.614489278811298,,,7,2,Ligne
2945,10043,134.912712691477,,,7,2,Ligne
2946,10043,19.379512914559484,,,7,2,Ligne
2947,10043,27.528286846498666,,,7,2,Ligne
2948,10043,5.419637915027166,,,7,2,Ligne
2949,10043,165.06796100409076,,,7,2,Ligne
2950,10043,4.093090437020052,,,7,2,Ligne
2951,10043,41.97080529318724,,,7,2,Ligne
2952,10043,246.8408675522328,Le Draveur,,7,2,Ligne
2953,10043,54.2070466728118,Le Draveur,,7,2,Ligne
2954,10043,187.28610810414108,Le Draveur,,7,2,Ligne
2955,10043,62.180792800718415,Le Draveur,,7,1,Ligne
2956,10043,551.4529666848545,L'Ãboulis Nord,,7,1,Ligne
2957,10043,89.72705443796424,,,7,1,Ligne
2958,10043,18.495005869963926,,,7,1,Ligne
2959,10043,726.2612211492834,L'Ãboulis Ouest,,7,1,Ligne
2960,10043,559.7321557788101,L'Ãboulis Ouest,,7,1,Ligne
2961,10043,130.71883797581765,,,7,1,Ligne
2962,10043,253.24737658593898,L'Ãboulis Ouest,,7,1,Ligne
2963,10043,134.9818438264181,EntrÃ©e Gilles-Hocqart,,8,1,Ligne
2964,10043,132.2149298020981,L'Ãboulis Nord,,7,1,Ligne
2965,10043,332.9334113362666,Parc BeausÃ©jour,,8,1,Ligne
2966,10043,135.83591516710365,Le Draveur,,8,1,Ligne
2967,10043,164.07251819229378,Parc BeausÃ©jour,,8,1,Ligne
2968,10043,328.2535290934022,Parc BeausÃ©jour,,8,2,Ligne
2969,10043,227.19660212420948,Accezz,,8,,Ligne
2970,10043,82.86373621748457,Parc BeausÃ©jour,,8,2,Ligne
2971,10043,111.60509729112803,,,8,2,Ligne
2972,10043,488.4009243946684,Parc BeausÃ©jour,,8,3,Ligne
2973,10043,123.79608856131944,Parc BeausÃ©jour,,8,4,Ligne
2974,10043,14.360170135238395,Parc BeausÃ©jour,,8,4,Ligne
2975,10043,148.04494235955187,L'Ãboulis Ouest,,7,,Ligne
2976,10043,365.2862111309235,Parc BeausÃ©jour,,8,3,Ligne
2977,10043,123.07226123576558,Parc BeausÃ©jour,,8,3,Ligne
2978,10043,55.347472932601,Parc BeausÃ©jour,,8,2,Ligne
2979,10043,39.04168354746159,Parc BeausÃ©jour,,8,1,Ligne
2980,10043,113.3060342775193,Parc BeausÃ©jour,,8,1,Ligne
2981,10043,11.914132557413694,Parc BeausÃ©jour,,5,2,Ligne
2982,10043,12.456661363503464,Parc BeausÃ©jour,,5,2,Ligne
2983,10043,17.949483021278954,Parc BeausÃ©jour,,5,2,Ligne
2984,10043,24.73145701128738,,,5,3,Ligne
2985,10043,16.352021994899168,,,5,3,Ligne
2986,10043,193.7208779084665,Parc BeausÃ©jour,,8,2,Ligne
2987,10043,49.834132600368676,L'Ãboulis Est,,7,1,Ligne
2988,10043,137.94609071676194,,,5,3,Ligne
2989,10043,350.3360896700218,,,5,3,Ligne
2990,10043,168.4163525477011,,,5,3,Ligne
