OBJECTID,URL_REGLEMENT,GEOM,JMAP_ID,NO_REGLEMENT,REGLEMENT,LOCALISATION
1,289-2006,Polygone,3,"2089-97, 2195-2000 et 289-2006",Relatif à la constitution d'un troisième site du patrimoine,Troisième site du patrimoine (Berceau-de-Rimouski)
2,20-89-97,Polygone,1,2089-97,Relatif à la constitution de deux sites du patrimoine,Premier site du patrimoine (cœur institutionnel)
3,20-89-97,Polygone,2,2089-97 et 2195-2000,Relatif à la constitution de deux sites du patrimoine,Deuxième site du patrimoine (ouest du centre-ville)
4,652-2011,Polygone,4,652-2011,Site du patrimoine de la rue Saint-Germain Est,rue Saint-Germain Est
12,909-2015,Polygone,9,909-2015,Site patrimonial du Havre-du-Bic,Baie-Rose plateau
13,909-2015,Polygone,6,909-2015,Site patrimonial du Havre-du-Bic,Pointe-aux-Anglais
14,909-2015,Polygone,8,909-2015,Site patrimonial du Havre-du-Bic,Baie-Rose sur Mer
15,909-2015,Polygone,11,909-2015,Site patrimonial du Havre-du-Bic,Pointe-à-Santerre
16,909-2015,Polygone,7,909-2015,Site patrimonial du Havre-du-Bic,Golf
17,909-2015,Polygone,5,909-2015,Site patrimonial du Havre-du-Bic,Crête rocheuse
18,909-2015,Polygone,10,909-2015,Site patrimonial du Havre-du-Bic,Théâtre du Bic
