ï»¿id,nom_batiment,municipalite,usage,adresse,superficie
39,Centre communautaire St-Raphael,94068,"Transports, communications et services publics",2435 Rue Saint-Jean-Baptiste,754.78
328,Remise AndrÃ©-Gagnon,94068,"Transports, communications et services publics",1375 Rue Jean-Bourdon,22.67
2461,Poste de pompage # 29 Chemin de la RÃ©serve,94068,"Transports, communications et services publics",2300 Chemin de la RÃ©serve,12.43
2519,Poste de contrÃ´le dÃ©pÃ´t neige St-Paul,94068,"Transports, communications et services publics",971 Rue de la Rupert,14.32
2601,Poste de pompage # 33 St-Jean-Baptiste,94068,"Transports, communications et services publics",1772 Boulevard Saint-Jean-Baptiste,18.2
2602,Poste de pompage # 1 Saguenay Ouest,94068,"Transports, communications et services publics",1752 Boulevard du Saguenay Ouest,20.05
2843,Poste de pompage # 26 St-Alexis,94068,"Transports, communications et services publics",2467 Rue Roussel,23.33
2891,Poste de pompage # 18 Potvin,94068,"Transports, communications et services publics",191 Rue Richmond,23.28
2907,Poste de pompage # 2 Saguenay Ouest,94068,"Transports, communications et services publics",1036 Boulevard du Saguenay Ouest,16
2908,Poste de pompage # 17 Richmond,94068,"Transports, communications et services publics",307 Rue Richmond,24.47
2909,Poste de pompage # 19 Roussel Est,94068,"Transports, communications et services publics",1475 Rue Roussel,14.89
2910,Poste de pompage # 27 Du Golf,94068,"Transports, communications et services publics",533 Rue du Chemin-du-Golf,16
2997,Poste de pompage # 16 Boulevard Saguenay,94068,"Transports, communications et services publics",2033 Boulevard du Saguenay,18.78
3044,Poste de pompage # 11 Lavoie,94068,"Transports, communications et services publics",1814 Rue Lavoie,20.62
3081,Poste de surpression S-83,94068,"Transports, communications et services publics",1322 Rue des MÃ©lÃ¨zes,23.87
3104,Poste de pompage # 14 St-Jean-Baptiste,94068,"Transports, communications et services publics",2828 Boulevard Saint-Jean-Baptiste,21.38
3105,Poste de pompage # 17 Tourangeau,94068,"Transports, communications et services publics",2179 Rue Tourangeau,21.37
3108,Poste de pompage # 25 Chemin de la RÃ©serve,94068,"Transports, communications et services publics",1647 Chemin de la RÃ©serve,20.07
3125,Poste de pompage # S-1 Parc Mars,94068,"Transports, communications et services publics",671 Rue du Cap,19.32
