ï»¿objectid,localisation,circuit,nom_circuit,difficulte,kilometres,st_length(shape)
1,Sentier Thibaudeau-Ricard,,Sentier Thibaudeau-Ricard,,,1689.6389473607
5,Parc de l'Ãle Melville,,,,,2621.07327987009
6,Parc de l'Ãle Melville,,,Expert,,1403.33241131712
7,Parc de l'Ãle Melville,,,,,1914.4224241376
16,Parc Glenada,,,,,35.0654634120806
17,Parc Glenada,,,,,1207.06122723654
18,Parc Glenada,,,,,90.5920698814697
19,Parc Glenada,,,,,27.7238057520064
20,Parc Glenada,,,,,31.7933722278166
21,Parc Glenada,,,,,68.2748955482859
22,Parc Glenada,,,,,19.0674782481328
23,Parc Glenada,,,,,52.1098730137889
24,Parc Glenada,,,,,59.5388007017086
25,Parc Glenada,,,,,36.9768084059937
26,Parc Glenada,,,,,11.895427604336
27,Parc Glenada,,,,,36.620287857188
28,Chemin de Sainte-Flore,,,,,623.779119379064
29,Chemin de Sainte-Flore,,,,,235.268722651661
30,Chemin de Sainte-Flore,,,,,561.457088766307
31,Chemin de Sainte-Flore,,,,,539.672374422361
54,Chemin de Sainte-Flore,,,,,59.2812766982854
32,Chemin de Sainte-Flore,,,,,740.611468108371
33,Chemin de Sainte-Flore,,,,,962.28804361488
34,Chemin de Sainte-Flore,,,,,130.263322744371
35,Chemin de Sainte-Flore,,,,,327.243564599717
36,Chemin de Sainte-Flore,,,,,485.664548858058
37,Chemin de Sainte-Flore,,,,,423.059289489997
38,Chemin de Sainte-Flore,,,,,187.287222271167
39,Chemin de Sainte-Flore,,,,,626.905477950224
40,Chemin de Sainte-Flore,,,,,656.428038069976
41,Chemin de Sainte-Flore,,,,,87.6096729866887
42,Chemin de Sainte-Flore,,,,,181.45888076206
43,Chemin de Sainte-Flore,,,,,621.783987829836
44,Chemin de Sainte-Flore,,,,,79.5523339966077
45,Chemin de Sainte-Flore,,,,,102.928408333918
46,Chemin de Sainte-Flore,,,,,82.800701321681
47,Chemin de Sainte-Flore,,,,,286.133534916139
48,Chemin de Sainte-Flore,,,,,409.739528115447
49,Chemin de Sainte-Flore,,,,,259.537551228609
50,Chemin de Sainte-Flore,,,,,379.291348769091
51,Chemin de Sainte-Flore,,,,,79.5367365080062
52,Chemin de Sainte-Flore,,,,,962.08968220156
53,Chemin de Sainte-Flore,,,,,287.904490178498
55,Chemin de Sainte-Flore,,,,,268.975295027328
56,Chemin de Sainte-Flore,,,,,71.7854128252036
428,Parc de la RiviÃ¨re-Grand-MÃ¨re,,,,,2691.02756620704
429,Grand-MÃ¨re,7B,Boucle 7 via 7B,,3.1,494.812716336693
430,Grand-MÃ¨re,8,Boucle 8 via 6 et 7,,2.8,1245.69584841278
431,Grand-MÃ¨re,7,Boucle 7,,3.5,3527.22362777762
432,Grand-MÃ¨re,6,Boucle 6,,4,3472.8531842483
433,Grand-MÃ¨re,6,Boucle 6 (via la corde),,4,221.328782833608
434,Grand-MÃ¨re,7C,Petite boucle 7 via 7C,,1,962.163510468043
435,Grand-MÃ¨re,9,Chalet 9 courte,,9.8,8260.49407660111
442,Chemin de Sainte-Flore,,,,,359.008683791179
440,Chemin de Sainte-Flore,,,,,588.018311542282
441,Chemin de Sainte-Flore,,,,,450.400303658978
439,Chemin de Sainte-Flore,,,,,882.228106574375
