ï»¿objectid,direction,navette,hvoiture_a,hvoiture_b,hvoiture_n,hvoitur_nw,adresse,sequence_a,abri,latitude,longitude
1,Saint-Georges, ,:35,:00, , ,Centre National de VÃ©rification et de Recouvrement (garderie La Bottine Souriante),33,,-72.71347948,46.49397113
2,Saint-Georges, ,:35,:00, , ,"Shawinigan-Sud, #4655",34,,-72.71704133,46.49576903
3,Saint-Georges, ,:35,:00, , ,"Shawinigan-Sud, #4585",35,,-72.71870368,46.49692188
4,Saint-Georges, ,:35,:00, , ,"Shawinigan-Sud, #4600",36,,-72.72039226,46.49808558
5,Saint-Georges, ,:35,:00, , ,Shawinigan-Sud/Valentine Pintal,37,,-72.72128775,46.49866423
6,Saint-Georges, ,:35,:00, , ,Shawinigan-Sud/Parc-Industriel,38,,-72.72365866,46.50028894
7,Saint-Georges, ,:35,:00, , ,Shawinigan-Sud/Saint-Michel,39,,-72.7252101,46.50133843
8,Saint-Georges, ,:35,:00, , ,Shawinigan-Sud/Arthur-DÃ©ry,40,,-72.72741923,46.50285032
9,Saint-Georges, ,:35,:00, , ,"Shawinigan-Sud, #4175",41,OUI,-72.72934026,46.50415734
10,Saint-Georges, ,:35,:00, , ,105e Avenue/Shawinigan-Sud,42,,-72.73114724,46.50609543
11,Saint-Georges, ,:35,:00, , ,105e avenue/Jos-Denoncourt,43,OUI,-72.73177187,46.50799915
12,Saint-Georges, ,:35,:00, , ,105e Avenue/Philibert-Dumas,44,,-72.73227351,46.50938378
13,Saint-Georges, ,:40,:05, , ,105e Avenue/138e Rue,45,,-72.73277151,46.51082833
14,Saint-Georges, ,:40,:05, , ,105e Avenue/136e Rue,46,,-72.73441341,46.51252292
15,Saint-Georges, ,:40,:05, , ,105e Avenue/134e Rue,47,,-72.7359438,46.51355789
16,Saint-Georges, ,:40,:05, , ,105e Avenue/132e Rue,48,,-72.7376151,46.51469067
17,Saint-Georges, ,:40,:05, , ,105e Avenue/129e Rue,49,,-72.74062061,46.51677926
18,Saint-Georges, ,:40,:05, , ,105e Avenue/127e Rue,50,,-72.74194157,46.5176989
19,Saint-Georges, ,:40,:05, , ,125e Rue/105e Avenue,51,,-72.74294829,46.51899497
20,Saint-Georges, ,:40,:05, , ,125e Rue/103e Avenue,52,,-72.74190294,46.51971334
