ï»¿NOM,HYPERLIEN,NOMBREUNITE,OBJECTID,SHAPE__Area,SHAPE__Length
Secteur rue Duvernay,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/Secteur_Duvernay_Plan-projet_de_lotissement_2013-08-07.pdf,29,1,120018.7109375,1398.81853987968
Les Versants de l'Est,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/Les_Versants_de_Est-Plan-projet_de_lotissement_2015-06-02.pdf,195,2,509862.32421875,3444.51784004132
Les BoisÃ©s UrbanÃco,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/Les_Boises_UrbanEco_Plan-projet_de_lotissement_2015-10-30.pdf,27,3,115464.34765625,2231.97108436286
Les Cours Saint-Germain,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/Les_Cours_Saint-Germain_Plan-projet_de_lotissement_2013-06-10.pdf,66,4,293760.88671875,2575.04353136628
Les Havres ChampÃªtres,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/Les_Havres_Champetres_Plan-projet_de_lotissement_modifie_2015-09-18.pdf,23,5,108312.94921875,1495.59904886852
Domaine du ruisseau dormant,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/Domaine_du_Ruisseau_Dormant-Plan-projet_de_lotissement_2013-06-07.pdf,86,6,257394.03515625,2527.51100939113
CarrÃ© BelvÃ©dÃ¨re,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/Carre_Belvedere_Plan-concept_de_lotissement_2017-10-02.pdf,1800,7,1592941.765625,5215.04689457978
Place de la Source,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/EmileChartier_CCU_Plan_projet_de_lotissement_2014_02_27.pdf,55,8,72425.92578125,1301.89556854091
Secteur rue Kay-Kinsman,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/Secteur_Fearon_Plan-projet_de_lotissement_2016-11-16.pdf,15,9,304814.046875,2738.46678186824
CitÃ© Natu-R,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/RuedeChateaumont_Planprojet_2012-12-16.pdf,11,10,57914.38671875,981.918103678285
Secteur boulevard du Prince-de-Galles,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/Secteur_Prince-De_Galles_Plan-projet_de_lotissement_2017-04-04.pdf,54,11,565909.03515625,3385.48289782875
Les Versants du Parc,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/Les_Versants_du_Parc-Plan-projet_de_lotissement-phase3_2013-08-06.pdf,570,12,425242.05078125,4275.2825379322
CarrÃ© 100T,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/PRI_Carre100T_1500_James-Quintin_Plan_implantation_2009-07-10.pdf,191,13,67225.953125,1388.83416235371
"2336, chemin de Sainte-Catherine",https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/PRI_2336_Sainte-Catherine_Plan_implantation_2012-08-23.pdf,8,14,11864.11328125,535.642962279407
W Condominiums,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/W_Condominium_plan_implantation_2012-03-12.pdf,45,15,22380.48046875,653.134256419695
Le BoisÃ© Fabi,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/BoisÃ©_Fabi_CCU-Plan-concept_de_lotissement_2014-04-04.pdf,1000,16,948835.4921875,5756.21924790729
ChÃ¢teaux Bellevue,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/PRI_Chateaux_Bellevue_rue_Thibault_Plan_implantation_Mai2009.pdf,60,17,21171.1796875,581.249148288039
Les Jardins de la Seigneurie,https://cartes.ville.sherbrooke.qc.ca/Hyperliens/ProjetProjete/PRI-530_rue_Josephine-Plan_implantation_2011-11-11.pdf,94,18,19360.6875,613.403107772488
