ï»¿X,Y,ID,NO,OBJECTID
-8003206.1376,5684281.0488,S-CIGA03,12,1
-8003285.37,5684259.6677,S-CIGA02,13,2
-8003354.9405,5684228.3717,S-CIGA01,14,3
-8003499.7449,5684281.8006,S-GARE01,35,4
-8003561.1019,5684265.8825,S-GARE02,36,5
-8003410.3899,5684542.9297,R-KING01,67,6
-8003408.1788,5684590.5331,R-KING13,72,7
-8003234.3891,5684667.536,R-KING12,80,8
-8003301.1835,5684596.6121,R-KING02,81,9
-8003071.1378,5684753.4822,R-KING11,89,10
-8002986.169,5684764.2666,R-KING05,95,11
-8002940.4597,5684838.4131,R-KING10,99,12
-8002858.8599,5684898.1325,R-KING09,102,13
-8002794.8272,5684958.0122,R-KING08,107,14
-8002769.7623,5684921.433,R-KING06,108,15
-8002998.667,5685373.5815,R-WELN01,112,16
-8002940.6018,5685255.0787,R-WELN02,113,17
-8002883.9456,5685129.7116,R-WELN03,115,18
-8002860.9777,5685110.8167,R-WELN04,119,19
-8002971.8432,5685364.1727,R-WELN06,,20
-8002575.1728,5684423.9389,R-WELS08,124,21
-8002636.7417,5684602.2136,R-WELS05,126,22
-8007626.2891,5681046.704,PrivÃ©,135,23
-8003215.4606,5684638.5563,R-KING03,154,24
-8003108.3665,5684612.7204,S-GILL01,155,25
-8003283.2046,5684512.3035,R-CAMI01,156,26
-8003352.8969,5684329.0278,R-FUSI01,158,27
-8003057.2227,5685337.461,R-PALA01,175,28
-8003109.2199,5685428.3162,R-FRON03,182,29
-8003289.7378,5685304.4308,R-FRON02,183,30
-8003278.9242,5685280.5314,R-FRON04,184,31
-8003554.2282,5685050.7515,R-FRON05,185,32
-8003485.2151,5684919.8025,R-GOOD01,187,33
-8003483.4198,5684826.0743,R-MARQ01,193,34
-8003413.849,5684854.7033,R-MARQ04,194,35
-8002635.3122,5685058.1896,R-KING07,200,36
-8002530.9908,5684549.9628,S-DEPO01,201,37
-8002831.4852,5685347.1556,S-GREN03,204,38
-8002856.1059,5685335.8307,S-GREN02,205,39
-8003516.8061,5684664.185,S-CITE01,237,40
-8003429.5302,5684684.0095,S-CITE04,238,41
-8003416.4504,5684656.4191,S-CITE03,239,42
-8003351.6374,5684680.0984,S-CITE02,240,43
-8003423.3504,5684736.0521,S-CITE05,241,44
-8002723.8851,5684997.2132,R-COUT01,249,45
-8003377.981,5684917.3454,R-MARQ02,250,46
-8003194.7388,5684801.9454,R-PEEL02,252,47
-8003244.3052,5684894.3656,R-PEEL01,253,48
-8003109.6003,5684686.3024,R-KING04,254,49
-8001663.4911,5684464.7356,R-BOWS01,259,50
-8001599.5893,5684413.4224,R-BOWS02,264,51
-8001444.8681,5684348.8182,R-WOOD01,273,52
-8003372.7188,5685227.1734,R-FRON01,396,53
-8003519.3048,5684701.1567,S-BIBL01,397,54
-8003338.9084,5684923.6404,R-MARQ03,1137,55
-8002588.3414,5684748.0224,,1141,56
-8002627.6462,5684831.9838,,1142,57
