MUNID|TYPE_MUR_TAG|ARROND|LOC|AD|AD_NO|AD_GEN|AD_LIEN|AD_SPECI|AD_DIREC|AD_MUN|AD_MUNID|GEOM|INFO
43027|Mur dédié aux graffitis temporaires|Arrondissement du Mont-Bellevue|Parc Belvédère|500, rue Thibault|500|rue||Thibault||Sherbrooke|43027|POINT(-71.891983,45.374321)|L'arrière du mur de pratique pour le tennis et l'arrière des deux abris des joueurs de baseball.
43027|Mur dédié aux graffitis temporaires|Arrondissement du Mont-Bellevue|Parc Alfred-Élie-Dufresne|525, rue Galt Ouest|525|rue||Galt|Ouest|Sherbrooke|43027|POINT(-71.893585,45.394917)|Ajout d'un panneau fixe en bois de 8 pi sur 8 pi près des panneaux existants.
43027|Mur dédié aux graffitis temporaires|Arrondissement de Fleurimont|Parc Adrien-Cambron|Accès par la 7e et 10e Avenue Nord||||||Sherbrooke|43027|POINT(-71.874802,45.413090)|Ajout d'un panneau fixe en bois de 8 pi sur 8 pi au nord-ouest du terrain de tennis.
43027|Mur dédié aux graffitis temporaires|Arrondissement de Lennoxville|Parc Optimist|Accès par la rue Little Forks||||||Sherbrooke|43027|POINT(-71.852097,45.367496)|Environ 40 blocs de béton entourant le parc.
43027|Mur dédié aux graffitis temporaires|Arrondissement du Mont-Bellevue|Pont Joffre|rue Galt Est||||||Sherbrooke|43027|POINT(-71.881348,45.395134)|Culées et piliers.
43027|Mur dédié aux graffitis temporaires|Arrondissement du Mont-Bellevue|Pont des Grandes-Fourches|rue des Grandes-Fourches Nord||||||Sherbrooke|43027|POINT(-71.890717,45.405632)|Faces nord et sud des culées sous le pont.
43027|Mur dédié aux graffitis temporaires|Arrondissement du Mont-Bellevue|Bretelle de la rue Frontenac|à proximitié des rues Wellington Nord et Grandes-Fourches Nord||||||Sherbrooke|43027|POINT(-71.890854,45.405033)|Faces est et nord du mur de la bretelle.
43027|Mur dédié aux graffitis temporaires|Arrondissement du Mont-Bellevue|Coalition sherbrookoise pour le travail de rue|61, rue Wellington Sud|61|rue||Wellington|Sud|Sherbrooke|43027|POINT(-71.889748,45.400166)|Mur arrière.
43027|Mur dédié aux graffitis temporaires|Arrondissement de Fleurimont|Parc Desranleau|Accès par le chemin Galvin||||||Sherbrooke|43027|POINT(-71.850372,45.407326)|Panneau en bois.
43027|Mur dédié aux graffitis permanents|Arrondissement du Mont-Bellevue|Tremplin 16-30|95, rue Wellington Sud|95|rue||Wellington|Sud|Sherbrooke|43027|POINT(-71.889763,45.400337)|
43027|Mur dédié aux graffitis permanents|Arrondissement du Mont-Bellevue|Place de la Cité|derrière le Palais de justice, dans le quadrilatère des rues King Ouest, Belvédère Nord et Marquette||||||Sherbrooke|43027|POINT(-71.896004,45.399944)|À l'arrière du mur de la scène.
43027|Mur dédié aux graffitis permanents|Arrondissement de Jacques-Cartier|Pont Montcalm|rue King Ouest||||||Sherbrooke|43027|POINT(-71.899109,45.398434)|Mur de la passerelle sous le pont.
