ï»¿OBJECTID,Numero,Grille
595,8345,QUADRILLAGE MATRICE (NAD 83)
596,8246,QUADRILLAGE MATRICE (NAD 83)
597,8245,QUADRILLAGE MATRICE (NAD 83)
598,8543,QUADRILLAGE MATRICE (NAD 83)
599,8444,QUADRILLAGE MATRICE (NAD 83)
600,8344,QUADRILLAGE MATRICE (NAD 83)
601,8244,QUADRILLAGE MATRICE (NAD 83)
602,8145,QUADRILLAGE MATRICE (NAD 83)
603,8144,QUADRILLAGE MATRICE (NAD 83)
604,7745,QUADRILLAGE MATRICE (NAD 83)
605,7645,QUADRILLAGE MATRICE (NAD 83)
606,7646,QUADRILLAGE MATRICE (NAD 83)
607,8741,QUADRILLAGE MATRICE (NAD 83)
608,8642,QUADRILLAGE MATRICE (NAD 83)
609,8542,QUADRILLAGE MATRICE (NAD 83)
610,8443,QUADRILLAGE MATRICE (NAD 83)
611,8343,QUADRILLAGE MATRICE (NAD 83)
612,8243,QUADRILLAGE MATRICE (NAD 83)
613,8143,QUADRILLAGE MATRICE (NAD 83)
614,8044,QUADRILLAGE MATRICE (NAD 83)
615,7844,QUADRILLAGE MATRICE (NAD 83)
616,7744,QUADRILLAGE MATRICE (NAD 83)
617,7644,QUADRILLAGE MATRICE (NAD 83)
618,7545,QUADRILLAGE MATRICE (NAD 83)
619,7546,QUADRILLAGE MATRICE (NAD 83)
620,7547,QUADRILLAGE MATRICE (NAD 83)
621,8740,QUADRILLAGE MATRICE (NAD 83)
622,8641,QUADRILLAGE MATRICE (NAD 83)
623,8541,QUADRILLAGE MATRICE (NAD 83)
624,8442,QUADRILLAGE MATRICE (NAD 83)
625,8342,QUADRILLAGE MATRICE (NAD 83)
626,8242,QUADRILLAGE MATRICE (NAD 83)
627,8142,QUADRILLAGE MATRICE (NAD 83)
628,8043,QUADRILLAGE MATRICE (NAD 83)
629,7943,QUADRILLAGE MATRICE (NAD 83)
630,7843,QUADRILLAGE MATRICE (NAD 83)
631,7743,QUADRILLAGE MATRICE (NAD 83)
632,7643,QUADRILLAGE MATRICE (NAD 83)
633,7544,QUADRILLAGE MATRICE (NAD 83)
634,7444,QUADRILLAGE MATRICE (NAD 83)
635,7445,QUADRILLAGE MATRICE (NAD 83)
636,7446,QUADRILLAGE MATRICE (NAD 83)
637,6926,QUADRILLAGE MATRICE (NAD 83)
638,7447,QUADRILLAGE MATRICE (NAD 83)
639,8640,QUADRILLAGE MATRICE (NAD 83)
640,8540,QUADRILLAGE MATRICE (NAD 83)
641,8441,QUADRILLAGE MATRICE (NAD 83)
642,8341,QUADRILLAGE MATRICE (NAD 83)
643,8241,QUADRILLAGE MATRICE (NAD 83)
644,8141,QUADRILLAGE MATRICE (NAD 83)
645,8042,QUADRILLAGE MATRICE (NAD 83)
646,7942,QUADRILLAGE MATRICE (NAD 83)
647,7842,QUADRILLAGE MATRICE (NAD 83)
648,7742,QUADRILLAGE MATRICE (NAD 83)
649,7642,QUADRILLAGE MATRICE (NAD 83)
650,7543,QUADRILLAGE MATRICE (NAD 83)
651,7443,QUADRILLAGE MATRICE (NAD 83)
652,7344,QUADRILLAGE MATRICE (NAD 83)
653,7345,QUADRILLAGE MATRICE (NAD 83)
654,7347,QUADRILLAGE MATRICE (NAD 83)
655,7346,QUADRILLAGE MATRICE (NAD 83)
656,8539,QUADRILLAGE MATRICE (NAD 83)
657,8440,QUADRILLAGE MATRICE (NAD 83)
658,8340,QUADRILLAGE MATRICE (NAD 83)
659,8240,QUADRILLAGE MATRICE (NAD 83)
660,8140,QUADRILLAGE MATRICE (NAD 83)
661,8041,QUADRILLAGE MATRICE (NAD 83)
662,7941,QUADRILLAGE MATRICE (NAD 83)
663,7841,QUADRILLAGE MATRICE (NAD 83)
664,7741,QUADRILLAGE MATRICE (NAD 83)
665,7641,QUADRILLAGE MATRICE (NAD 83)
666,7542,QUADRILLAGE MATRICE (NAD 83)
667,7442,QUADRILLAGE MATRICE (NAD 83)
668,7343,QUADRILLAGE MATRICE (NAD 83)
669,7243,QUADRILLAGE MATRICE (NAD 83)
670,7244,QUADRILLAGE MATRICE (NAD 83)
671,7246,QUADRILLAGE MATRICE (NAD 83)
672,7245,QUADRILLAGE MATRICE (NAD 83)
673,8439,QUADRILLAGE MATRICE (NAD 83)
674,8339,QUADRILLAGE MATRICE (NAD 83)
675,8239,QUADRILLAGE MATRICE (NAD 83)
676,8139,QUADRILLAGE MATRICE (NAD 83)
677,8040,QUADRILLAGE MATRICE (NAD 83)
678,7940,QUADRILLAGE MATRICE (NAD 83)
679,7840,QUADRILLAGE MATRICE (NAD 83)
680,7740,QUADRILLAGE MATRICE (NAD 83)
681,7640,QUADRILLAGE MATRICE (NAD 83)
682,7541,QUADRILLAGE MATRICE (NAD 83)
683,7441,QUADRILLAGE MATRICE (NAD 83)
684,7342,QUADRILLAGE MATRICE (NAD 83)
685,7242,QUADRILLAGE MATRICE (NAD 83)
686,7143,QUADRILLAGE MATRICE (NAD 83)
687,7145,QUADRILLAGE MATRICE (NAD 83)
688,7144,QUADRILLAGE MATRICE (NAD 83)
689,8338,QUADRILLAGE MATRICE (NAD 83)
690,8238,QUADRILLAGE MATRICE (NAD 83)
691,8138,QUADRILLAGE MATRICE (NAD 83)
692,8039,QUADRILLAGE MATRICE (NAD 83)
693,7939,QUADRILLAGE MATRICE (NAD 83)
694,7839,QUADRILLAGE MATRICE (NAD 83)
695,7739,QUADRILLAGE MATRICE (NAD 83)
696,7639,QUADRILLAGE MATRICE (NAD 83)
697,7540,QUADRILLAGE MATRICE (NAD 83)
698,7440,QUADRILLAGE MATRICE (NAD 83)
699,7341,QUADRILLAGE MATRICE (NAD 83)
700,7241,QUADRILLAGE MATRICE (NAD 83)
701,7142,QUADRILLAGE MATRICE (NAD 83)
702,7044,QUADRILLAGE MATRICE (NAD 83)
703,7043,QUADRILLAGE MATRICE (NAD 83)
704,6643,QUADRILLAGE MATRICE (NAD 83)
705,6543,QUADRILLAGE MATRICE (NAD 83)
