OBJECTID,DATE_DEBUT,DATE_FIN,NOM_PROJET,DESCRIPTION,TYPE_TRAVAUX,STATUT_PROJET,NO_PROJET
260,20240422040000,20240830040000,"Rue Ste-Cécile, des Commissaires et Ste-Angèle - Remise à niveau des réseaux d’eau potable et d'égout","Entrave totale des rues, selon l'avancement des travaux. De façon générale, le périmètre des travaux est réservé à la circulation locale seulement. Des chemins de détours sont prévus selon l'avancement des travaux.
Poussières, bruit, vibrations, travaux de nuit (6 mai 2024 exclusivement).",Travaux avec entrave complète,En cours,
437,20240625040000,20240920040000,Réhabilitation des conduites d'eau potable,Réhabilitation des conduites d'eau potable,Travaux avec entrave partielle,En cours,
438,20240625040000,20240920040000,Réhabilitation des conduites d'eau potable,Réhabilitation des conduites d'eau potable,Travaux avec entrave partielle,En cours,
439,20240625040000,20240920040000,Réhabilitation des conduites d'eau potable,Réhabilitation des conduites d'eau potable,Travaux avec entrave partielle,En cours,
440,20240625040000,20240920040000,Réhabilitation des conduites d'eau potable,Réhabilitation des conduites d'eau potable,Travaux avec entrave partielle,En cours,
441,20240625040000,20240920040000,Réhabilitation des conduites d'eau potable,Réhabilitation des conduites d'eau potable,Travaux avec entrave partielle,En cours,
447,20240429040000,20241206050000,"Réaménagement complet du boulevard Sainte-Madeleine, incluant le remplacement des conduites d'eau potable, d'égout et de gaz","Travaux majeurs pour remplacement de conduites et réaménagement entre St-Laurent et des Érables. Détour du transit de voiture via Latreille pour 138 direction Ouest et accès aux commerces (côté nord) et via Loranger pour 138 direction Est et accès commerces (côté sud). Détour distinct pour la route de camion par Saint-Laurent Nord et retour par JR-Desrosiers. Circulation locale maintenue pour accès aux commerces, résidences et institutions, de même que pour les services d'urgence. À noter : travaux intégrés de déplacement de la conduite de gaz d'Énergir.",Travaux avec entrave complète,En cours,
734,20230911040000,20250613040000,Aéroport – Construction d’une aérogare,Construction d’une aérogare,Travaux sans entrave,En cours,
836,20240308050000,20250308050000,Utilisation de la voie publique,"Utilisation de la voie publique sur les rue St-Antoine, Champlain et Saint-Georges selon les plans signés, scellés et
approuvés par Véronique Lussier, ing, ainsi que l'approbation du département de mobilité et circulation annexé au présent
certificat.
Parcomètre #5529/5530/5531",Travaux avec entrave partielle,En cours,
887,20240510040000,20241011040000,Piétonnisation de la rue des Forges,"Du 10 mai jusqu'au 11 octobre 2024, la rue des Forges sera piétonne. Élaboré en partenariat avec Trois-Rivières Centre, le tronçon piétonnisé, interdit aux automobilistes, situé entre les rues Champlain et du Fleuve, permettra à la population de circuler sur la chaussée et aux restaurateurs d’installer leurs terrasses et leurs contre-terrasses sur les trottoirs. En collaboration avec Culture Trois-Rivières, le marquage au sol artistique et coloré sur la rue des Forges sera retouché pour agrémenter l’expérience des gens qui visitent le centre-ville.",Travaux avec entrave complète,À venir,
898,20240603040000,20241018040000,Rue Demontigny - Réfection des infrastructures et ajout d'une conduite pluviale,"Réfection des infrastructures de la rue Demontigny, incluant l’ajout d’une conduite pluviale. Fermeture totale de la rue Demontigny avec accès local uniquement. Évolution de l’entrave par phases. Accès au quartier par la rue Jacques-Ferron. Détours et stationnement par les rues voisines.",Travaux avec entrave complète,En cours,
950,20240806040000,20240906040000,"Réfection de la rue des Prairies, entre la rue Frontenac et l'entrée de l'Autoroute 40 ouest","Travaux de trottoirs, pulvérisation, planage et de pavage de la rue. Les travaux se font entre 6 h 30 et 21 h du lundi au vendredi mais peuvent se faire en dehors de cette plage horaire sur approbation de la Ville. La circulation se fait par détours balisés sur place. Les citoyens ont accès à leur entrée durant les travaux à part ceux touchés par des travaux de trottoirs qui durent entre 4 et 5 jours.",Travaux avec entrave partielle,En cours,
951,20240812040000,20240823040000,"Réfection de la rue des Prairies, entre la rue des Prés-Verts et la limite de la ville",Travaux de pulvérisation et de pavage de la rue. Les travaux se font entre 6 h 30 et 21 h du lundi au vendredi mais peuvent se faire en dehors de cette plage horaire sur approbation de la Ville. La circulation se fait par détours balisés sur place.  Les citoyens ont accès à leur entrée durant les travaux.,Travaux avec entrave complète,En cours,
960,20240812040000,20240816040000,Rue Saint-Philippe : Désaffectation de la conduite d'eau potable (APTR),"Désaffectation de la conduite d'eau potable de la rue Saint-Philippe, dans le cadre des travaux de réfection de la rue Notre-Dame par l'administration portuaire de Trois-Rivières (APTR).",Travaux avec entrave partielle,À venir,
961,20240521040000,20241018040000,Réfection de la rue Notre-Dame (Port de Trois-Rivières),"Remplacement de la conduite d'égout sanitaire, de l'eau potable et de l'éclairage. Fondation de chaussée renforcée pour l'établissement d'un corridor de transport hors norme. Aménagement d'une nouvelle guérite sur la rue Saint-Philippe. Entrave partielle sur Saint-Philippe et totale sur Notre-Dame.",Travaux avec entrave complète,En cours,
1005,20240704040000,20240816040000,Réaménagement de l'intersection Côte de l'Hôpital-Cooke et rue du Père-Daniel,Travaux de réaménagement de l’intersection de la côte de l’Hôpital-Cooke et rue du Père-Daniel avec ajout d’éclairage de rue dans la côte. Le projet n’inclut pas de piste cyclable dans la côte. Entraves complètes avec signaleurs et chemin de détours.,Travaux avec entrave complète,À venir,
1008,20240702040000,20240830040000,Réfection des feux de circulation Fusey / Duplessis / Notre-Dame / Thibeau,Mise hors fonction des feux pour leur reconstruction. La circulation se fera à l'aide d'arrêt dans toutes les directions,Travaux avec entrave partielle,En cours,
1026,20240703040000,20240820040000,Installation d'un conteneur à déchets,Utilisation de la voie publique pour installer un conteneur à déchets,Entrave de rue Permis,En cours,
1071,20240805040000,20240823040000,Ajout de traverse piéton avec éclairage et clignotant,Excavation pour traverse le boul. des Récollets et modification de la géométrie  de l'îlot central et du coin nord-est. Réduction de voie et ralentissement à prévoir,Travaux avec entrave partielle,En cours,
