ï»¿OBJECTID,LABEL
3972086,B-10
3972087,B-1004
3972088,B-1015
3972089,B-1018
3972090,B-1020
3972091,B-1023
3972092,B-1024
3972093,B-1025
3972094,B-103
3972095,B-1033
3972096,B-1036
3972097,B-1037
3972098,B-1038
3972099,B-1039
3972100,B-104
3972101,B-1040
3972102,B-1044
3972103,B-1045
3972104,B-1046
3972105,B-1048
3972106,B-105
3972107,B-1050
3972108,B-1051
3972109,B-1054
3972110,B-1055
3972111,B-1057
3972112,B-1058
3972113,B-106
3972114,B-1060
3972115,B-1061
3972116,B-1062
3972117,B-1063
3972118,B-1064
3972119,B-1067
3972120,B-1068
3972121,B-1069
3972122,B-107
3972123,B-1070
3972124,B-1071
3972125,B-1078
3972126,B-108
3972127,B-1082
3972128,B-1083
3972129,B-1087
3972130,B-1088
3972131,B-1089
3972132,B-109
3972133,B-1091
3972134,B-1095
3972135,B-1096
3972136,B-1097
3972137,B-1098
3972138,B-11
3972139,B-1100
3972140,B-1102
3972141,B-1103
3972142,B-1104
3972143,B-1107
3972144,B-1109
3972145,B-111
3972146,B-1110
3972147,B-1111
3972148,B-1112
3972149,B-1115
3972150,B-1116
3972151,B-1117
3972152,B-1118
3972153,B-1119
3972154,B-112
3972155,B-1120
3972156,B-1121
3972157,B-1123
3972158,B-1127
3972159,B-1128
3972160,B-1129
3972161,B-1130
3972162,B-1131
3972163,B-1132
3972164,B-1133
3972165,B-1134
3972166,B-1135
3972167,B-1136
3972168,B-1137
3972169,B-1139
3972170,B-1141
3972171,B-1147
3972172,B-1149
3972173,B-115
3972174,B-1152
3972175,B-1153
3972176,B-1154
3972177,B-1155
3972178,B-1158
3972179,B-1167
3972180,B-1168
3972181,B-1174
3972182,B-1176
3972183,B-1178
3972184,B-118
3972185,B-1187
3972186,B-1188
3972187,B-1189
3972188,B-119
3972189,B-1190
3972190,B-1192
3972191,B-1193
3972192,B-1194
3972193,B-1195
3972194,B-1196
3972195,B-1197
3972196,B-1199
3972197,B-120
3972198,B-1200
3972199,B-1201
3972200,B-1202
3972201,B-1203
3972202,B-1204
3972203,B-1205
3972204,B-1209
3972205,B-121
3972206,B-1210
3972207,B-1211
3972208,B-1212
3972209,B-1213
3972210,B-1214
3972211,B-1215
3972212,B-1216
3972213,B-1217
3972214,B-1218
3972215,B-1219
3972216,B-122
3972217,B-1220
3972218,B-1221
3972219,B-1223
3972220,B-1224
3972221,B-1229
3972222,B-123
3972223,B-1230
3972224,B-1232
3972225,B-1235
3972226,B-1238
3972227,B-1248
3972228,B-1254
3972229,B-1255
3972230,B-1256
3972231,B-1257
3972232,B-126
3972233,B-1262
3972234,B-1263
3972235,B-1267
3972236,B-1268
3972237,B-127
3972238,B-1272
3972239,B-1275
3972240,B-1276
3972241,B-1277
3972242,B-1278
3972243,B-1280
3972244,B-1281
3972245,B-1286
3972246,B-1287
3972247,B-1289
3972248,B-1290
3972249,B-1293
3972250,B-1294
3972251,B-1295
3972252,B-1298
3972253,B-13
3972254,B-130
3972255,B-1300
3972256,B-1302
3972257,B-1305
3972258,B-1306
3972259,B-1307
3972260,B-1308
3972261,B-1309
3972262,B-1310
3972263,B-1311
3972264,B-1312
3972265,B-1314
3972266,B-1315
3972267,B-1319
3972268,B-1320
3972269,B-1325
3972270,B-1326
3972271,B-1327
3972272,B-1328
3972273,B-1329
3972274,B-1330
3972275,B-1334
3972276,B-1335
3972277,B-134
3972278,B-1340
3972279,B-1341
3972280,B-1345
3972281,B-1346
3972282,B-1348
3972283,B-1355
3972284,B-1356
3972285,B-1357
3972286,B-1358
3972287,B-1359
3972288,B-136
3972289,B-1360
3972290,B-1362
3972291,B-1364
3972292,B-1365
3972293,B-1366
3972294,B-1368
3972295,B-1369
3972296,B-137
3972297,B-1370
3972298,B-1371
3972299,B-1372
3972300,B-1373
3972301,B-1374
3972302,B-1375
3972303,B-1379
3972304,B-1380
3972305,B-1384
3972306,B-1385
3972307,B-1387
3972308,B-1388
3972309,B-1389
3972310,B-1390
3972311,B-1391
3972312,B-1396
3972313,B-1397
3972314,B-1398
3972315,B-14
3972316,B-140
3972317,B-1401
3972318,B-1402
3972319,B-1403
3972320,B-1404
3972321,B-1405
3972322,B-1406
3972323,B-1407
3972324,B-1409
3972325,B-141
3972326,B-1410
3972327,B-1411
3972328,B-1412
3972329,B-1413
3972330,B-1414
3972331,B-1415
3972332,B-1416
3972333,B-1418
3972334,B-142
3972335,B-1420
3972336,B-1421
3972337,B-1422
3972338,B-1423
3972339,B-1425
3972340,B-1426
3972341,B-1427
3972342,B-1428
3972343,B-1429
3972344,B-143
3972345,B-1431
3972346,B-1433
3972347,B-1434
3972348,B-1436
3972349,B-1437
3972350,B-1438
3972351,B-1439
3972352,B-144
3972353,B-1440
3972354,B-1441
3972355,B-1442
3972356,B-1443
3972357,B-1444
3972358,B-1445
3972359,B-1446
3972360,B-1447
3972361,B-1448
3972362,B-1449
3972363,B-145
3972364,B-1450
3972365,B-1453
3972366,B-1454
3972367,B-1455
3972368,B-1459
3972369,B-146
3972370,B-1460
3972371,B-1461
3972372,B-1462
3972373,B-1463
3972374,B-1464
3972375,B-1467
3972376,B-1468
3972377,B-1469
3972378,B-147
3972379,B-1470
3972380,B-1472
3972381,B-1473
3972382,B-1474
3972383,B-1475
3972384,B-1476
3972385,B-1477
3972386,B-1478
3972387,B-1479
3972388,B-1482
3972389,B-1483
3972390,B-1485
3972391,B-1486
3972392,B-1487
3972393,B-1488
3972394,B-1489
3972395,B-1490
3972396,B-1493
3972397,B-1494
3972398,B-1495
3972399,B-1497
3972400,B-1498
3972401,B-1499
3972402,B-15
3972403,B-150
3972404,B-1500
3972405,B-1501
3972406,B-1502
3972407,B-1503
3972408,B-1504
3972409,B-1506
3972410,B-1507
3972411,B-1508
3972412,B-1509
3972413,B-1512
3972414,B-1514
3972415,B-1515
3972416,B-1517
3972417,B-1518
3972418,B-1519
3972419,B-1522
3972420,B-1523
3972421,B-1524
3972422,B-1525
3972423,B-1526
3972424,B-1527
3972425,B-1529
3972426,B-1530
3972427,B-1531
3972428,B-1532
3972429,B-1533
3972430,B-1534
3972431,B-1539
3972432,B-1540
3972433,B-1541
3972434,B-1542
3972435,B-1543
3972436,B-1544
3972437,B-1545
3972438,B-1546
3972439,B-1547
3972440,B-1548
3972441,B-1549
3972442,B-1550
3972443,B-1551
3972444,B-1552
3972445,B-1553
3972446,B-1554
3972447,B-1555
3972448,B-1556
3972449,B-1558
3972450,B-1559
3972451,B-1560
3972452,B-1561
3972453,B-1562
3972454,B-1564
3972455,B-1565
3972456,B-1566
3972457,B-1567
3972458,B-1568
3972459,B-1569
3972460,B-1571
3972461,B-1572
3972462,B-1573
3972463,B-1574
3972464,B-1575
3972465,B-1576
3972466,B-1577
3972467,B-1579
3972468,B-1580
3972469,B-1581
3972470,B-1582
3972471,B-1583
3972472,B-1584
3972473,B-1585
3972474,B-1586
3972475,B-1587
3972476,B-1590
3972477,B-1591
3972478,B-1594
3972479,B-1595
3972480,B-1596
3972481,B-1597
3972482,B-1598
3972483,B-1599
3972484,B-16
3972485,B-1600
3972486,B-1601
3972487,B-1602
3972488,B-1603
3972489,B-1604
3972490,B-1607
3972491,B-1608
3972492,B-1609
3972493,B-161
3972494,B-1610
3972495,B-1611
3972496,B-1612
3972497,B-1613
3972498,B-1614
3972499,B-1615
3972500,B-1616
3972501,B-1617
3972502,B-162
3972503,B-1620
3972504,B-1621
3972505,B-1622
3972506,B-1623
3972507,B-1624
3972508,B-1625
3972509,B-1626
3972510,B-1627
3972511,B-1628
3972512,B-1629
3972513,B-1630
3972514,B-1631
3972515,B-1632
3972516,B-1633
3972517,B-1634
3972518,B-1635
3972519,B-1636
3972520,B-1637
3972521,B-1638
3972522,B-1639
3972523,B-164
3972524,B-1640
3972526,B-1642
3972527,B-1643
3972528,B-1644
3972529,B-1645
3972530,B-1646
3972531,B-1647
3972533,B-1649
3972534,B-165
3972535,B-1650
3972536,B-1651
3972537,B-1652
3972538,B-1653
3972539,B-1654
3972540,B-1655
3972541,B-1656
3972542,B-168
3972543,B-169
3972544,B-17
3972545,B-170
3972546,B-171
3972547,B-172
3972548,B-173
3972549,B-174
3972550,B-175
3972551,B-176
3972552,B-177
3972553,B-179
3972554,B-18
3972555,B-182
3972556,B-183
3972557,B-184
3972558,B-185
3972559,B-189
3972560,B-19
3972561,B-190
3972562,B-198
3972563,B-20
3972564,B-200
3972565,B-209
3972566,B-210
3972567,B-212
3972568,B-213
3972569,B-214
3972570,B-215
3972571,B-216
3972572,B-217
3972573,B-218
3972574,B-22
3972575,B-227
3972576,B-23
3972577,B-235
3972578,B-236
3972579,B-237
3972580,B-24
3972581,B-242
3972582,B-243
3972583,B-248
3972584,B-257
3972585,B-258
3972586,B-259
3972587,B-26
3972588,B-260
3972589,B-261
3972590,B-263
3972591,B-264
3972592,B-265
3972593,B-266
3972594,B-270
3972595,B-271
3972596,B-273
3972597,B-274
3972598,B-276
3972599,B-28
3972600,B-281
3972601,B-282
3972602,B-283
3972603,B-285
3972604,B-286
3972605,B-290
3972606,B-294
3972607,B-295
3972608,B-296
3972609,B-298
3972610,B-299
3972611,B-3
3972612,B-30
3972613,B-300
3972614,B-301
3972615,B-302
3972616,B-303
3972617,B-304
3972618,B-305
3972619,B-306
3972620,B-307
3972621,B-308
3972622,B-309
3972623,B-31
3972624,B-310
3972625,B-311
3972626,B-313
3972627,B-314
3972628,B-315
3972629,B-316
3972630,B-317
3972631,B-318
3972632,B-319
3972633,B-32
3972634,B-322
3972635,B-323
3972636,B-324
3972637,B-327
3972638,B-329
3972639,B-33
3972640,B-331
3972641,B-332
3972642,B-334
3972643,B-337
3972644,B-338
3972645,B-339
3972646,B-34
3972647,B-341
3972648,B-342
3972649,B-343
3972650,B-345
3972651,B-347
3972652,B-349
3972653,B-35
3972654,B-350
3972655,B-351
3972656,B-353
3972657,B-354
3972658,B-355
3972659,B-358
3972660,B-361
3972661,B-362
3972662,B-371
3972663,B-373
3972664,B-375
3972665,B-376
3972666,B-377
3972667,B-378
3972668,B-38
3972669,B-380
3972670,B-382
3972671,B-383
3972672,B-384
3972673,B-386
3972674,B-387
3972675,B-390
3972676,B-391
3972677,B-395
3972678,B-397
3972679,B-399
3972680,B-4
3972681,B-40
3972682,B-400
3972683,B-401
3972684,B-402
3972685,B-405
3972686,B-406
3972687,B-408
3972688,B-412
3972689,B-413
3972690,B-414
3972691,B-416
3972692,B-417
3972693,B-418
3972694,B-419
3972695,B-42
3972696,B-420
3972697,B-422
3972698,B-43
3972699,B-435
3972700,B-44
3972701,B-447
3972702,B-45
3972703,B-453
3972704,B-454
3972705,B-456
3972706,B-457
3972707,B-458
3972708,B-46
3972709,B-460
3972710,B-47
3972711,B-48
3972712,B-5
3972713,B-50
3972714,B-504
3972715,B-505
3972716,B-507
3972717,B-508
3972718,B-51
3972719,B-510
3972720,B-511
3972721,B-512
3972722,B-52
3972723,B-53
3972724,B-54
3972725,B-55
3972726,B-56
3972727,B-57
3972728,B-58
3972729,B-60
3972730,B-601
3972731,B-602
3972732,B-603
3972733,B-604
3972734,B-605
3972735,B-606
3972736,B-607
3972737,B-609
3972738,B-61
3972739,B-611
3972740,B-612
3972741,B-613
3972742,B-614
3972743,B-62
3972744,B-63
3972745,B-64
3972746,B-65
3972747,B-66
3972748,B-67
3972749,B-68
3972750,B-69
3972751,B-70
3972752,B-700
3972753,B-701
3972754,B-702
3972755,B-703
3972756,B-705
3972757,B-706
3972758,B-707
3972759,B-708
3972760,B-71
3972761,B-711
3972762,B-715
3972763,B-716
3972764,B-719
3972765,B-72
3972766,B-720
3972767,B-721
3972768,B-723
3972769,B-725
3972770,B-726
3972771,B-729
3972772,B-73
3972773,B-730
3972774,B-731
3972775,B-733
3972776,B-734
3972777,B-737
3972778,B-74
3972779,B-76
3972780,B-77
3972781,B-78
3972782,B-800
3972783,B-801
3972784,B-803
3972785,B-804
3972786,B-808
3972787,B-810
3972788,B-811
3972789,B-812
3972790,B-814
3972791,B-815
3972792,B-816
3972793,B-817
3972794,B-819
3972795,B-82
3972796,B-820
3972797,B-822
3972798,B-823
