ï»¿OBJECTID,LABEL,TYPE,DIAMETER__VALVE_
5161,43FCV42,VANNE DE CONTROLE DE DEBIT,152.4
5162,43FCV43,VANNE DE CONTROLE DE DEBIT,152.4
5163,43FCV45,VANNE DE CONTROLE DE DEBIT,152.4
5164,FCV-18,,152.4
5166,43FCV39,VANNE DE CONTROLE DE DEBIT,152.4
5167,43FCV36,VANNE DE CONTROLE DE DEBIT,152.4
5168,43FCV30,VANNE DE CONTROLE DE DEBIT,152.4
5169,43FCV35,VANNE DE CONTROLE DE DEBIT,76.2
5170,43FCV10,VANNE DE CONTROLE DE DEBIT,76.2
5171,15FCV05,VANNE DE CONTROLE DE DEBIT,152.4
5172,43FCV44,VANNE DE CONTROLE DE DEBIT,152.4
5173,43FCV47,VANNE DE CONTROLE DE DEBIT,152.4
5174,15FCV07,VANNE DE CONTROLE DE DEBIT,250
5175,15FCV10,VANNE DE CONTROLE DE DEBIT,250
5177,15FCV09,VANNE DE CONTROLE DE DEBIT,250
5178,15FCV08,VANNE DE CONTROLE DE DEBIT,250
5179,43FCV40,VANNE DE CONTROLE DE DEBIT,152.4
5180,43FCV46,VANNE DE CONTROLE DE DEBIT,152.4
5181,15FCV06,VANNE DE CONTROLE DE DEBIT,152.4
5182,43FCV41,VANNE DE CONTROLE DE DEBIT,152.4
