ï»¿OBJECTID,ID,NOM,CONSEILLER,V_ANNEE,VNBR_ELECTEURS,V_DATE_RECENSEMENT,V_ACTIF,MUNICIPALITE
973,10,de Saint-Louis-de-France,GeneviÃ¨ve Auclair,2020,8061,2021-10-25T04:00:00,1,37067
974,14,de Sainte-Marthe,Daniel Cournoyer,2020,8025,2021-10-25T04:00:00,1,37067
975,13,de la Madeleine,Sabrina Roy,2020,7624,2021-10-25T04:00:00,1,37067
976,11,de ChÃ¢teaudun,Luc Tremblay,2020,7701,2021-10-25T04:00:00,1,37067
977,12,des Estacades,Pierre-Luc Fortin,2020,7836,2021-10-25T04:00:00,1,37067
978,1,de Pointe-du-Lac,FranÃ§ois BÃ©lisle,2020,8313,2021-10-25T04:00:00,1,37067
979,8,des Carrefours,RenÃ© Martin,2020,7815,2021-10-25T04:00:00,1,37067
980,9,des Forges,Alain Lafontaine,2020,7575,2021-10-25T04:00:00,1,37067
982,6,des RiviÃ¨res,Pascale Albernhe-Lahaie,2020,8077,2021-10-25T04:00:00,1,37067
983,5,du Carmel,Pierre Montreuil,2020,7508,2021-10-25T04:00:00,1,37067
984,3,de La-VÃ©rendrye,Dany Carpentier,2020,7481,2021-10-25T04:00:00,1,37067
985,2,de Chavigny,Maryse Bellemare,2020,7895,2021-10-25T04:00:00,1,37067
986,4,de Marie-de-l'Incarnation,Richard W. Dober,2020,7656,2021-10-25T04:00:00,1,37067
987,7,de Richelieu,Jonathan Bradley,2020,7632,2021-10-25T04:00:00,1,37067
